Holiday Name,Day of Week,Observed Date
New Year's Day (observed),Monday,"January 2, 2017"
"Birthday of Martin Luther King, Jr.",Monday,"January 16, 2017"
Washington's Birthday (observed),Monday,"February 20, 2017"
Memorial Day,Monday,"May 29, 2017"
Independence Day,Tuesday,"July 4, 2017"
Labor Day,Monday,"September 4, 2017"
Columbus Day,Monday,"October 9, 2017"
Veterans Day (observed),Friday,"November 10, 2017"
Thanksgiving Day,Thursday,"November 23, 2017"
Christmas Day,Monday,"December 25, 2017"
New Year's Day,Monday,"January 1, 2018"
"Birthday of Martin Luther King, Jr.",Monday,"January 15, 2018"
Washington's Birthday,Monday,"February 19, 2018"
Memorial Day,Monday,"May 28, 2018"
Independence Day,Wednesday,"July 4, 2018"
Labor Day,Monday,"September 3, 2018"
Columbus Day,Monday,"October 8, 2018"
Veterans Day (observed) †,Monday,"November 12, 2018"
Thanksgiving Day,Thursday,"November 22, 2018"
Christmas Day,Tuesday,"December 25, 2018"
New Year's Day,Tuesday,"January 1, 2019"
"Birthday of Martin Luther King, Jr.",Monday,"January 21, 2019"
Washington's Birthday,Monday,"February 18, 2019"
Memorial Day,Monday,"May 27, 2019"
Independence Day,Thursday,"July 4, 2019"
Labor Day,Monday,"September 2, 2019"
Columbus Day,Monday,"October 14, 2019"
Veterans Day,Monday,"November 11, 2019"
Thanksgiving Day,Thursday,"November 28, 2019"
Christmas Day,Wednesday,"December 25, 2019"
New Year's Day,Wednesday,"January 1, 2020"
"Birthday of Martin Luther King, Jr.",Monday,"January 20, 2020"
Washington's Birthday,Monday,"February 17, 2020"
Memorial Day,Monday,"May 25, 2020"
Independence Day (observed) †,Friday,"July 3, 2020"
Labor Day,Monday,"September 7, 2020"
Columbus Day,Monday,"October 12, 2020"
Veterans Day,Wednesday,"November 11, 2020"
Thanksgiving Day,Thursday,"November 26, 2020"
Christmas Day,Friday,"December 25, 2020"
New Year's Day,Friday,"January 1, 2021"
"Birthday of Martin Luther King, Jr.",Monday,"January 18, 2021"
Washington's Birthday,Monday,"February 15, 2021"
Memorial Day,Monday,"May 31, 2021"
Independence Day (observed) †,Monday,"July 5, 2021"
Labor Day,Monday,"September 6, 2021"
Columbus Day,Monday,"October 11, 2021"
Veterans Day,Thursday,"November 11, 2021"
Thanksgiving Day,Thursday,"November 25, 2021"
Christmas Day (observed) †,Friday,"December 24, 2021"
